Jurisdiction,Priority Alignment Shortcode,Priority Alignment,Priority Alignment Description,Shared Priorities,Policy Identifier,Policy Description,Elements,Strategy List,Commonalities (Non-Specific),Commonalities (Specific),General Terms of Commonalities (Specific),Jurisdiction Total (Verticle),Policy Total
Coachella,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,SNE 11.7,Active transportation. Support infrastructure and programs that encourage children to safely walk or ride a bicycle to school. ,"F, J","Active Transportation Development, Safe Routes Creation",Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
Coachella,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,SNE 11.8,"Construction-related emissions. Require construction activities, including on-site building and the transport of materials, to limit emissions and dust. ",L,Environmental Quality Assessment & Green Development,Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
Coachella,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,SNE 11.10,Traffic congestion. Design new intersections to function in a manner that reduces air pollutant emissions from stop and start and idling traffic conditions. ,L,Environmental Quality Assessment & Green Development,Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
Coachella,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,SNE 5.12,"Market transformation. If the agribusiness industry declines in Coachella, support efforts that facilitate the transition of uses, businesses and employees from agriculture to other sectors of the local economy. ",N,Cost-Efficient Development,Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
El Centro,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,CIR Policy 2.1,"Improve the safety, comfort, and connectivity for pedestrians and bicyclists through the continued implementation of the Active Transportation & Safe Routes to School Plan (adopted in 2019), as may be updated, to increase the number of trips made by foot and bicycle to and from neighborhoods, schools, parks, retail locations, employment centers, government offices, and transit stations. ","F, J","Active Transportation Development, Safe Routes Creation",Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
El Centro,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,CIR Policy 2.3,Continue to improve pedestrian and bicycle accessibility and mobility to public facilities and commercial centers.,"F, J","Active Transportation Development, Safe Routes Creation",Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
El Centro,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,CIR Policy 4.5," Coordinate with ICTC, the County of Imperial, Caltrans, and adjacent cities to identify necessary improvements to the regional roadway system to ensure adequate regional access to and from El Centro.","K, M","Public Transit Expansion, Multi-Modal Transportation Hub Development",Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
El Centro,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,CIR Policy 5.1,Support the continued use of the rail corridor through the City as a key goods movement corridor.,M,Multi-Modal Transportation Hub Development,Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
El Centro,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,CIR Policy 5.2,Maintain a designated truck route network in the City to ensure safe and adequate infrastructure support for the travel of commercial vehicles. ,E,Truck Route Optimization,Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
El Centro,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,CIR Goal 6,"Continue to utilize regional airports and railways to facilitate economic development, as well as the movement of people, and establish El Centro as a regional hub of commerce and travel. ","M, F","Multi-Modal Transportation Hub Development, Active Transportation Development",Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
El Centro,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,CIR Policy 6.1,Coordinate with the County of Imperial and plan for the expansion of the Imperial County Airport to encourage inter-regional travel and commerce. ,M,Multi-Modal Transportation Hub Development,Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
El Centro,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,ED,"-Support the development of home businesses, provided they do not adversely impact the surrounding neighborhood ",O,Small Business Assistance,Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
El Centro,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,ED,"-Evaluate the potential to attract ""green"" technology firms to El Centro, explore particular niches in the industry that El Centro may be able to attract, and formulate a strategy to attract new green tech firms. ",L,Environmental Quality Assessment & Green Development,Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
El Centro,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,ED Goal 3.9,Encourage more intensive development at underutilized shopping center sites ,P,Commercial/Recreation Site Development,Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
El Centro,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,COS Policy 6.3,Integrate air quality planning with land use and transportation planning. ,L,Environmental Quality Assessment & Green Development,Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
El Centro,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,COS Goal 7,"Direct future urban growth and expansion of the City to minimize hazards from areas requiring special management and/or separation from other land uses, such as seismic fault zones, unstable soil areas, flood plains, and areas required for protection of water quality. ",L,Environmental Quality Assessment & Green Development,Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
El Centro,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,COS-10,"California Environmental Quality Act: Continue to assess development proposals for potential impacts to sensitive historic, archaeological, and paleontological resources pursuant to the California Environmental Quality Act (CEQA).  Require appropriate mitigation for all significant impacts if impact avoidance is not possible.  ",L,Environmental Quality Assessment & Green Development,Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
El Centro,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,EJ Policy 7.2,"Create safe and comfortable transportation connections between communities of concern and critical public facilities within and outside the City, e.g. El Centro Regional Medical Center, including for residents that do not have access to private vehicles.   ","G, K, J","Transit-Oriented Connection, Public Transit Expansion, Safe Routes Creation",Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
El Centro,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,EJ Policy 9.4,"Eliminate barriers to small-scale businesses that provide healthy, affordable, and convenient food options, such as street vendors, produce stands, food trucks, or mobile produce retailers.     (O, I)                                                                                                                                                                                                                                                                 EJ Policy 9.5: Include flexible space on city-owned property and in larger developments for farmers markets, Community Supported Agriculture (CSA) pickup, produce sales, or other vendors to offer healthy, affordable, and convenient food choices. ","O, I","Small Business Assistance, Healthy Food Access Spots",Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
El Centro,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,EJ GOAL 13,Safe and comfortable spaces for active transportation and physical activity. ,"F, J","Active Transportation Development, Safe Routes Creation",Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
El Centro,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,EJ Policy 13.2,"Provide a well-maintained sidewalk and bike network throughout El Centro, focusing on access along key corridors and roadways that connect EJ communities to vital services and community facilities.",F,Active Transportation Development,Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
El Centro,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,EJ Policy 13.3,"Ensure adequate lighting, shading, and landscaping is in place along key active transportation routes throughout the City. ","J, F","Safe Routes Creation, Active Transportation Development",Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
El Centro,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,EJ Policy 13.4,"Identify locations for safety improvements to the active transportation network based on data about travel patterns, crash locations, and key destinations within El Centro, prioritizing travel by and within communities of concern. ","J, F","Safe Routes Creation, Active Transportation Development",Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
El Centro,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,EJ GOAL 14,An active transportation network that connects important locations throughout the City. ,"J, F","Safe Routes Creation, Active Transportation Development",Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
El Centro,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,EJ Policy 14.1,"Provide active transportation connections within new development, and between new developments and key destinations in the City.","J, F","Safe Routes Creation, Active Transportation Development",Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
Brawley,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,INF Goal 1,Provide for Adequate and Safe Local Thoroughfares and Transportation Routes ,"J, G","Safe Routes Creation, Transit-Oriented Connection",Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
Brawley,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,INF Objective 1.1,Provide a system of streets that meets the needs of current and future inhabitants and facilitates the safe and efficient movement of people and goods.,J,Safe Routes Creation,Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
Brawley,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,INF Policy 1.1.3,"Coordinate roadway improvements with applicable regional, state and federal transportation plans and proposals and local long-term needs. ","N, J","Cost-Efficient Development, Safe Routes Creation",Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
Brawley,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,INF Policy 1.1.11,"Encourage new development which facilitates transit services, provides for non-vehicular circulation and minimizes vehicle miles traveled. ",F,Active Transportation Development,Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
Brawley,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,INF Objective 1.2,Provide for a truck circulation system that provides for the effective transport of commodities while minimizing the negative impacts throughout the City.,E,Truck Route Optimization,Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
Brawley,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,INF Policy 1.2.3,Provide loading areas and access ways for industrial and commercial development that are designed and located so as to avoid conflicts with efficient traffic circulation. ,E,Truck Route Optimization,Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
Brawley,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,INF Policy 1.2.7,Provide an adequate circulation system for the transport of agricultural products and machinery.,E,Truck Route Optimization,Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
Brawley,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,INF Objective 3.1,Support development of a network of regional transportation facilities which ensure the safe and efficient movement of people and goods from within the City to areas outside its boundaries as well as accommodate the regional travel demands of developing areas outside the City. ,M,Multi-Modal Transportation Hub Development,Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
Brawley,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,INF Policy 3.2.4,Encourage the development of an airpark concept and compatible aircraft industrial commercial uses.,M,Multi-Modal Transportation Hub Development,Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
Brawley,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,INF Policy 6.1.1,Work with large employers and commercial/industrial complexes to create Transportation Management Associations and to implement trip/VMT reduction strategies. ,"F, H","Active Transportation Development, Neighborhood Electric Vehicle (NEV) Infrastructure and VMT Reduction",Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
Brawley,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,EDE Objective 1.2,Implement an infrastructure improvement program to enable the City to offer fully served industrial and commercial sites tied to multi-modal transportation.,,,Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
Brawley,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,EDE Policy 1.2.1,Ensure adequate infrastructure to support new job-creating industrial development. ,"O, P","Small Business Assistance, Commercial/Recreation Site Development",Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
Brawley,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,EDE Policy 2.1.6,"Provide for the expansion of the runway at the Brawley Municipal Airport, in order to accommodate the larger aircraft typically used by corporate decision makers. ",M,Multi-Modal Transportation Hub Development,Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
Brawley,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,EDE Policy 2.1.7,"Promote the development of hotels/motels, theatres, entertainment, golf course, recreation facilities, water park, and restaurants to facilitate the tourism industry.",P,Commercial/Recreation Site Development,Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
Brawley,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,EDE Policy 2.1.8, Promote the development of quality recreational vehicle/travel trailer parks as a means of tapping into the winter visitor market.,P,Commercial/Recreation Site Development,Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
Brawley,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,EDE Policy 2.1.9, Develop a streamlined City process for expediting land use permits and entitlements. ,Q,Expediting Land Use Permits and Entitlements.,Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
Brawley,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,EDE Policy 2.2.3,Work with public and private transport agencies to make the flow of goods through and around Brawley as convenient and expedient as possible for business and industry. ,M,Multi-Modal Transportation Hub Development,Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
Brawley,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,EDE Policy 2.2.4,"Work with regional economic development agencies, local governments, and Mexicali officials to develop rail access to Pacific Ocean ports. ",M,Multi-Modal Transportation Hub Development,Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
Brawley,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,EDE Policy 3.1.2,"Promote the development of residential, recreational, and retail opportunities that encourage use and activity beyond the normal hours of the work week.",P,Commercial/Recreation Site Development,Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
Brawley,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,OS Objective 6.1,"Operate and maintain existing and future parks and recreation facilities so they are safe, clean, and attractive to the public; and preserve, protect, and enhance both existing and potential natural recreation areas to ensure that long-term public investments and values are not unreasonably preempted, compromised, or prevented by neglect or short-term considerations. ",P,Commercial/Recreation Site Development,Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
Brawley,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,OS Policy 6.1.1,Estimate and evaluate the cost of operating and maintaining parks and recreation facilities as an integral part of the park design and development process so that Brawley does not accept responsibility for parks and recreation areas which it may not be able to adequately maintain over the long run ,N,Cost-Efficient Development,Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
Brawley,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,OS Policy 6.1.2,"Require park designs (including landscape treatments, buildings, irrigation, etc.) that are durable, reasonably standardized, and economical to maintain. ",N,Cost-Efficient Development,Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
